"time per 12 hours","events.classifications.keyword: Descending","Number of audio clips"
"2024-06-04 00:00",Noise,"1,248"
"2024-06-04 00:00","Likely_noise",746
"2024-06-04 00:00",Frogs,452
"2024-06-04 00:00","Likely_frogs",426
"2024-06-04 00:00",Unknown,314
"2024-06-04 00:00",Airplane,265
"2024-06-04 00:00","Likely_airplane",256
"2024-06-04 00:00","Likely_light",222
"2024-06-04 00:00",Birds,190
"2024-06-04 00:00","Likely_piston",176
"2024-06-04 00:00","Likely_birds",170
"2024-06-04 00:00","Likely_car_revving",108
"2024-06-04 00:00","Likely_cars",87
"2024-06-04 00:00","Likely_vehicles",72
"2024-06-04 00:00",Train,42
"2024-06-04 00:00","Likely_jet",41
"2024-06-04 00:00","Likely_rain",33
"2024-06-04 00:00","Likely_car_passing",29
"2024-06-04 00:00","Likely_train",28
"2024-06-04 00:00",Cars,27
"2024-06-04 00:00",Vehicles,27
"2024-06-04 00:00",Rain,23
"2024-06-04 00:00","Car_revving",21
"2024-06-04 00:00","Likely_medium",21
"2024-06-04 00:00","Likely_dog_bark",17
"2024-06-04 00:00",Jet,14
"2024-06-04 00:00",Light,13
"2024-06-04 00:00","Likely_0.5km",13
"2024-06-04 00:00",Piston,13
"2024-06-04 00:00","Car_passing",10
"2024-06-04 00:00","Likely_idling",8
"2024-06-04 00:00","Likely_music",7
"2024-06-04 00:00","Likely_truck",7
"2024-06-04 00:00",Voices,7
"2024-06-04 00:00","Dog_bark",6
"2024-06-04 00:00","Likely_insects",5
"2024-06-04 00:00",Siren,5
"2024-06-04 00:00","Alarm_siren",4
"2024-06-04 00:00","Likely_alarm_siren",4
"2024-06-04 00:00","Likely_siren",4
"2024-06-04 00:00",Music,4
"2024-06-04 00:00","Likely_lawnmower",3
"2024-06-04 00:00","Likely_mouse_click",3
"2024-06-04 00:00","Likely_thunder",3
"2024-06-04 00:00","Likely_whistle",3
"2024-06-04 00:00","Mouse_click",3
"2024-06-04 00:00",Fireworks,2
"2024-06-04 00:00",Idling,2
"2024-06-04 00:00","Likely_alarm",2
"2024-06-04 00:00","Likely_car_horn",2
"2024-06-04 12:00",Noise,"1,416"
"2024-06-04 12:00","Likely_noise",824
"2024-06-04 12:00",Airplane,434
"2024-06-04 12:00",Frogs,405
"2024-06-04 12:00","Likely_airplane",402
"2024-06-04 12:00","Likely_frogs",385
"2024-06-04 12:00","Likely_light",350
"2024-06-04 12:00",Unknown,344
"2024-06-04 12:00","Likely_piston",281
"2024-06-04 12:00",Birds,212
"2024-06-04 12:00","Likely_birds",169
"2024-06-04 12:00","Likely_car_revving",134
"2024-06-04 12:00","Likely_cars",134
"2024-06-04 12:00",Piston,123
"2024-06-04 12:00",Light,112
"2024-06-04 12:00","Likely_vehicles",101
"2024-06-04 12:00","Likely_13.5km",68
"2024-06-04 12:00","Likely_jet",63
"2024-06-04 12:00",Train,42
"2024-06-04 12:00",Cars,40
"2024-06-04 12:00","Likely_train",40
"2024-06-04 12:00","Car_revving",34
"2024-06-04 12:00",Vehicles,33
"2024-06-04 12:00",Jet,25
"2024-06-04 12:00","Likely_car_passing",25
"2024-06-04 12:00","Likely_alarm",19
"2024-06-04 12:00","Likely_medium",18
"2024-06-04 12:00","Likely_rain",18
"2024-06-04 12:00","Likely_idling",17
"2024-06-04 12:00","Likely_0.5km",16
"2024-06-04 12:00","Likely_dog_bark",15
"2024-06-04 12:00",Siren,14
"2024-06-04 12:00","Likely_alarm_siren",11
"2024-06-04 12:00","Dog_bark",10
